Question Number,Question Text,Choices,Correct Answer,LLM Answer,Correct?
75,Which of the following dotted-decimal notation (DDN) is equivalent of /17.,"a. 255.255.192.0
b. 255.128.0.0
c. 255.255.128.0
d. 255.255.224.0",c,c,1
76,Which of the following dotted-decimal notation (DDN) is equivalent of /28.,"a. 255.255.255.240
b. 255.128.224.0
c. 255.255.255.224
d. 255.255.255.248",a,c,0
77,The broadcast address from the IP address 67.68.67.68/12 is 67.79.255.255.,"a. TRUE
b. FALSE
",a,b,0
78,"Subnet masks can be written as 32-bit binary numbers, but not just any binary number. In particular, the binary subnet mask must follow these rules:
1. The value must not interleave 1s and 0s.
2. If 0s exist, they are on the left.
3. If 1s exist, they are on the right.","a. TRUE
b. FALSE
",b,a,0
79,Which of the following answers lists the prefix (CIDR) format equivalent of 255.255.254.0?,"a. /20
b. /21
c. /22
d. /23",d,c,0
80,Which of the following answers lists the prefix (CIDR) format equivalent of 255.192.0.0?,"a. /10
b. /11
c. /12
d. /13",a,c,0
81,"Your task is to troubleshoot a user’s PC with IP 192.168.100.1/28. Based on the given details choose the number of the network (N), subnet (S), and host (H) bits.","a. Network Bits = 28 | Subnet Bits = 1 | Host Bits = 2
b. Network Bits = 20 | Subnet Bits = 5 | Host Bits = 7
c. Network Bits = 24 | Subnet Bits = 4 | Host Bits = 4
d. Network Bits = 30 | Subnet Bits = 1 | Host Bits = 1",c,a,0
82,Your task is to find the broadcast address from the IP address 10.75.20.3 with subnet mask 255.248.0.0,"a. Broadcast address: 10.75.255.255
b. Broadcast address: 10.75.20.255
c. Broadcast address: 10.79.255.255
d. Broadcast address: 10.80.255.255",c,a,0
83,Your task is to find the broadcast address from the IP address 172.30.70.26 with subnet mask 255.255.192.0,"a. Broadcast address: 172.30.127.255
b. Broadcast address: 172.30.70.255
c. Broadcast address: 172.30.100.255
d. Broadcast address: 172.30.87.255",a,a,1
84,Which of the following answers lists the dotted decimal notation (DDN) equivalent of /30?,"a. 255.255.255.240
b. 255.255.255.252
c. 255.255.192.0
d. 255.255.252.0",b,c,0
85,Which of the following answers lists the dotteddecimal notation (DDN) equivalent of /18?,"a. 255.255.255.192
b. 255.255.224.0
c. 255.255.128.0
d. 255.255.192.0",d,b,0
86,"Which of the following masks, when used within a Class B network, would supply enough subnet bits to support 90 subnets? (Choose two)","a. /24
b. /21
c. /19
d. 255.255.255.252
e. 255.255.240.0
f. 255.255.224.0","a,d","c,d",0
88,"Your task is to troubleshoot a user’s PC with IP 10.20.30.5 and mask 255.255.255.0. Based on the given details type the number of the network (N), subnet (S), and host (H) bits.","a. Network Bits = 16 | Subnet Bits = 15 | Host Bits = 1
b. Network Bits = 16 | Subnet Bits = 1 | Host Bits = 15
c. Network Bits = 8 | Subnet Bits = 8 | Host Bits = 16
d. Network Bits = 8 | Subnet Bits = 16 | Host Bits = 8",d,b,0
89,The converted binary mask 11111111.11111111.11111110.00000000 to decimal is _______________.,"a. 255.255.255.192
b. 255.255.254.0
c. 255.255.252.0
d. 255.255.255.224",b,a,0
90,Which of the following binary masks is equivalent to the 255.192.0.0 dotted-decimal notation (DDN)?,"a. 11111111.11000000.00000000.00000000
b. 11111111.11100000.00000000.00000000
c. 11111111.11110000.00000000.00000000
d. 11111111.11111000.00000000.00000000",a,a,1
